ID,Date,Text,Category
8,2023-07-24 14:14,"😃עדכנתי את טבלת הקישורים לכלי בינה, הוספתי הרבה כלים ולבקשתכם את התגיות: ""בניית אתרים"" ""מצגת"" ""ניהול זמן"" ""טבלאות""

שימו לב שבתאור הקבוצה יש קישור דרכו ניתן להתחבר לשאר ערוצי הקהילה ומאגרי הכלים והמדריכים שלי

למי שעדיין ןא מכיר הנה סרטון שמסביר איך להשתמש במאגר הכלים שלי
 https://youtube.com/shorts/S3VvMVa8Gsc?feature=share3

אם אתם רוצים לדעת איך ליצור לערוך תמונות נפלאות באמצעות בינה מלאכותית והכלי העוצמתי
Firefly 🔥
הזדמנות אחרונה להצטרף לסדנת יצירת תמונות הערב ב20:30
בסדנה נלמד ליצור ולערוך תמונות עם בינה מלאכותית באופן נכון ופשוט 🖌️

בהמשך השבוע סדנת שימוש פרקטי ומתקדם בGPT ודומיו

ויש גם קורס מקיף על Canva ו Notion
פרטים נוספים והרשמה לכל הסדנאות בקישור 👇🏼
 https://affiliate.notion.so/aiwithhenry

🙏🏻שיבואו עלינו ימים טובים",כלי בינה
9,2023-07-26 11:00,"אם אתם יוצרים סרטונים או מצגות ורוצים לצרף להם מוזיקה ללא זכויות יוצרים 🎶
או שאתם סתם חובבי מוזיקה ורוצים ליצור מוזיקה מדהימה בחינם הנה כלי בשבילכם
 https://mubert.com/render/pricing?via=henry-AI
באמצעות הכלי תוכלו ליצור מוזיקה מתיאור בטקסט ובחירה של ז'אנר מוזיקלי אווירה ועוד, שימו לב שיש מסלול חינמי ללא הגבלה אבל יצורף לשיר שלכם חתימת קול

מזכיר שהכלי הזה כמו עוד הרבה כלים מדריכים וקבוצות יעודית לתמונות, וידאו תכנות וטבלאות מופעים בקישור שבתאור כל קבוצות הווצפ☝🏻
ועכשיו כל אחד יכול לצרף חברים.ות לקבוצה 😃

מי שרוצה להעמיק את הידע ולמצות את המלא הפוטנציאל של
Chat GPT
ודומיו שימו לב שמחר בערב תתקיים סדנה, הרשמה לסדנה זו ולאר הסדנאות כמו גם קורסים מקיפים על Canva
והכלי המופלא לסדר וארגון Notion
בקישור הזה 👇🏼
 https://affiliate.notion.so/aiwithhenry

שיבואו עלינו ימים טובים
🙏🏻",כלי בינה
10,2023-07-28 14:30,"סופ""ש נעים 😃
שאלו אותי הרבה על לוגו לעסק וכד אז הכנתי לכם מדריך, במדריך אני משתמש בבינג וקנבה אבל יעבוד לכם עם כל יוצר תמונות ותוכנת עריכה 🖌️
קישור למדריך 👇🏼
 https://youtube.com/shorts/CSCgm5Y7Ye8?feature=share

מי שרוצה ללמוד את קנבה בקורס מקיף מוזמן 👇🏼
 https://affiliate.notion.so/aiwithhenry
קישור לכל ערוצי הבינה המלאכותית שלי:
 https://linktr.ee/henryai

תהנו ושתפו עם חברים
שיהיה סופ""ש נעים 🪄❤️",מדריכים
11,2023-07-31 22:11,"עדכון חשוב ממש מעכשיו 😃
האפליקציה הרשמית של Chatgpt
זמינה להורדה למכשירי אנדרואיד
קישור 👇🏼
 https://play.google.com/store/apps/details?id=com.openai.chatgpt

אם אתם עדיין לא באחת מקבוצות העדכונים השקטות בווצפ זה הזמן להצטרף, שימו לב שבתאור הקבוצה המצורפת ניתן לגשת לכל מאגרי הכלים והמדריכים לבינה מלאכותית

 https://chat.whatsapp.com/ExPMeXpDypDApvH6R2jCrU ",עדכונים
12,2023-08-02 21:01,"בעקבות שאלות שהופנו אליי לגבי מציאת מאמרים אקדמיים וכד' 📚
רוצה להציג לכם כלי נפלא
 https://www.perplexity.ai/

הכלי הוא בעצם צ'אט בוט חכם שיכול למצוא ולעזור עם מאמרים אקדמיים, סרטונים, ויקיפדיה, כתיבה ועוד. הכלי חינמי ותומך בעברית😃
ניתן למקד את הכלי לתחום ספציפי עם כפתור הFocus כמו בתמונה ☝🏻.

פנו אליי הרבה בקשר לסדנה מבוא נוספת למתחילים אז פתחתי מועד לסוף אוגוסט, פרטים נוספים והרשמה לכל הסדנאות 👇🏼
 https://affiliate.notion.so/aiwithhenry ",כלי בינה
13,2023-08-03 21:09,"רוצים ליצור ווידאו שיווקי לעסק תוך כמה דקות? הנה מדריך 👇🏼
 https://youtu.be/M-ri4amyLsU

המדריך הזה ועוד המון מדריכים ומאגר כלים ענק נגישים לכם בקישור שבתאור הקבוצה 😃",מדריכים
14,2023-08-03 21:09,"את מאגר הכלים וגם מאגר המדריכים ובכלל חצי מהחיים שלי אני מנהל בכלי המטורף Notion 🪄
 בגדול Notion מאפשר לנהל מידע, פרויקטים, משימות שיתופי פעולה ועוד,  מעין שילוב של אקסל וורד פאוור פויוט לוח שנה + אפשרות ליצור אתר אינטרנט בדקות +  כתיבה עם בינה מלאכותית.
זמין מהמחשב או כאפליקציה.

אם הקסם הזה מעניין אתכם ובא לכם לנהל את החיים והמשימות שלכם בקלות ונוחות מוזמנים להצטרף לקורס שיפתח בשבוע הבא. הקורס כולל 3 מפגשים כל אחד מקיף תחום אחד ב Notion, ניתן להרשם לכל מפגש בנפרד או לקורס כולו בעלות מוזלת.
להרשמה ופרטים נוספים על הקורס👇🏼
 https://pay.sumit.co.il/25696t/4bjfpa/

הרשמה לאתר של נושן 👇🏼
 https://affiliate.notion.so/ko391ixh8gtq ",כלי בינה
15,2023-08-06 18:07,"שבוע טוב 😃
בא לכם לדבר עם סטיב ג'ובס? יועץ טיולים פרטי?
באתר המגניב 👇🏼
 https://mindos.com/#/marketplace
תוכלו לדבר עם עשרות דמויות בינה עם התמחות ואישיות ספציפית, האתר תומך בעברית ויש תוכנית חינמית.
ניתן גם ליצור דמות משלכם, אם מעניין אתכם לדעת איך הגיבו 😮 להודעה ואשתדל ליצור מדריך או סדנה.
קישור לכל ערוצי הבינה המלאכותית שלי כולל מאגר הכלים בו גם הכלי הזה מופיע👇🏼
 https://linktr.ee/henryai ",מדריכים
16,2023-08-06 18:07,"נותרו מקומות אחרונים לקורס Notion שמתחיל מחר מהרו להרשם
 Notion
הוא כלי עוצמתי באמצעותו ניתן לנהל זמן פרויקטים וליצור מאגרי מידע מופלאים (כמו למשל מאגר הכלים שלי😉)
הקורס כולל 3 מפגשים בימי שני בשעה 20:30 החל ממחר, ניתן להרשם לכל מפגש בנפרד או לקורס כולו בעלות מוזלת.
פרטים נוספים והרשמה 👇
 https://pay.sumit.co.il/25696t/4bjfpa/ ",כלי בינה
17,2023-08-07 16:19,"אחה""צ טובים 😃
זוכרים את 👇🏼
 https://www.perplexity.ai/

כלי הבינה שיכול לעזור לכם בחיפוש מידע מסוגים שונים כמו סרטונים או מאמרים אקדמיים? הכלי יכול גם לתת תשובות ובגדול הוא כמו GPT רק עם חיבור לאינטרנט.
הכלי קיבל עדכון נחמד ועכשיו ניתן להעלות אליו קבצים כמו PDF וכד' ולשאול עליהם שאלות או לחפש בהם, שימו לב שכרגע הפיצ'ר זמין רק דרך מחשב, ניתן להעלות את הקובץ בכפתור המסומן בתמונה☝🏻
אם אתם נהנים מהתכנים מוזמנים להוסיף אנשים נוספים לקבוצה 🙏🏻",עדכונים
